study_id,year,month,data_downloads,documentation_downloads,total_downloads,timestamp
38584,2025,3,34,72,106,2026-05-13 10:54:26
38584,2025,4,20,43,63,2026-05-13 10:54:26
38584,2025,5,20,41,61,2026-05-13 10:54:26
38584,2025,6,9,28,37,2026-05-13 10:54:26
38584,2025,7,20,40,60,2026-05-13 10:54:26
38584,2025,8,6,12,18,2026-05-13 10:54:26
38584,2025,9,10,26,36,2026-05-13 10:54:26
38584,2025,10,11,23,34,2026-05-13 10:54:26
38584,2025,11,34,93,127,2026-05-13 10:54:26
38584,2025,12,15,35,50,2026-05-13 10:54:26
38584,2026,1,14,33,47,2026-05-13 10:54:26
38584,2026,2,11,31,42,2026-05-13 10:54:26
38584,2026,3,16,35,51,2026-05-13 10:54:26
38584,2026,4,9,20,29,2026-05-13 10:54:26
38584,2026,5,4,8,12,2026-05-13 10:54:26
38585,2022,11,1,6,7,2026-05-13 10:54:26
38585,2023,3,1,2,3,2026-05-13 10:54:26
38585,2023,7,2,5,7,2026-05-13 10:54:26
38585,2023,9,1,26,27,2026-05-13 10:54:26
38585,2023,12,110,113,223,2026-05-13 10:54:26
38585,2024,1,6,13,19,2026-05-13 10:54:26
38585,2024,2,6,20,26,2026-05-13 10:54:26
38585,2024,3,4,8,12,2026-05-13 10:54:26
38585,2024,4,2,4,6,2026-05-13 10:54:26
38585,2024,5,53,108,161,2026-05-13 10:54:26
38585,2024,6,19,41,60,2026-05-13 10:54:26
38585,2024,7,4,8,12,2026-05-13 10:54:26
38585,2024,8,8,16,24,2026-05-13 10:54:26
38585,2024,9,8,20,28,2026-05-13 10:54:26
38585,2024,10,12,42,54,2026-05-13 10:54:26
38585,2024,11,4,9,13,2026-05-13 10:54:26
38585,2025,1,16,32,48,2026-05-13 10:54:26
38585,2025,2,32,72,104,2026-05-13 10:54:26
38585,2025,3,13,27,40,2026-05-13 10:54:26
38585,2025,4,26,52,78,2026-05-13 10:54:26
38585,2025,5,0,16,16,2026-05-13 10:54:26
38585,2025,6,0,1,1,2026-05-13 10:54:26
38585,2025,7,6,12,18,2026-05-13 10:54:26
38585,2025,8,4,16,20,2026-05-13 10:54:26
38585,2025,9,2,13,15,2026-05-13 10:54:26
38585,2025,10,21,44,65,2026-05-13 10:54:26
38585,2025,11,12,32,44,2026-05-13 10:54:26
38585,2025,12,4,8,12,2026-05-13 10:54:26
38585,2026,1,25,60,85,2026-05-13 10:54:26
38585,2026,2,4,9,13,2026-05-13 10:54:26
38585,2026,3,9,19,28,2026-05-13 10:54:26
38585,2026,4,2,6,8,2026-05-13 10:54:26
38585,2026,5,4,9,13,2026-05-13 10:54:26
38586,2022,12,0,4,4,2026-05-13 10:54:26
38586,2023,1,3,16,19,2026-05-13 10:54:26
38586,2023,2,7,14,21,2026-05-13 10:54:26
38586,2023,3,20,46,66,2026-05-13 10:54:26
38586,2023,4,18,36,54,2026-05-13 10:54:26
38586,2023,5,8,16,24,2026-05-13 10:54:26
38586,2023,6,6,12,18,2026-05-13 10:54:26
38586,2023,7,8,16,24,2026-05-13 10:54:26
38586,2023,8,5,14,19,2026-05-13 10:54:26
38586,2023,9,9,21,30,2026-05-13 10:54:26
38586,2023,10,7,14,21,2026-05-13 10:54:26
38586,2023,11,17,39,56,2026-05-13 10:54:26
38586,2023,12,309,341,650,2026-05-13 10:54:26
38586,2024,1,13,43,56,2026-05-13 10:54:26
38586,2024,2,54,125,179,2026-05-13 10:54:26
38586,2024,3,44,90,134,2026-05-13 10:54:26
38586,2024,4,80,189,269,2026-05-13 10:54:26
38586,2024,5,75,175,250,2026-05-13 10:54:26
38586,2024,6,34,77,111,2026-05-13 10:54:26
38586,2024,7,26,54,80,2026-05-13 10:54:26
38586,2024,8,18,38,56,2026-05-13 10:54:26
38586,2024,9,28,59,87,2026-05-13 10:54:26
38586,2024,10,23,82,105,2026-05-13 10:54:26
38586,2024,11,36,90,126,2026-05-13 10:54:26
38586,2024,12,40,82,122,2026-05-13 10:54:26
38586,2025,1,51,115,166,2026-05-13 10:54:26
38586,2025,2,83,190,273,2026-05-13 10:54:26
38586,2025,3,53,114,167,2026-05-13 10:54:26
38586,2025,4,39,93,132,2026-05-13 10:54:26
38586,2025,5,39,85,124,2026-05-13 10:54:26
38586,2025,6,35,72,107,2026-05-13 10:54:26
38586,2025,7,35,72,107,2026-05-13 10:54:26
38586,2025,8,19,50,69,2026-05-13 10:54:26
38586,2025,9,32,81,113,2026-05-13 10:54:26
38586,2025,10,51,132,183,2026-05-13 10:54:26
38586,2025,11,35,89,124,2026-05-13 10:54:26
38586,2025,12,39,95,134,2026-05-13 10:54:26
38586,2026,1,45,92,137,2026-05-13 10:54:26
38586,2026,2,78,170,248,2026-05-13 10:54:26
38586,2026,3,91,186,277,2026-05-13 10:54:26
38586,2026,4,73,164,237,2026-05-13 10:54:26
38586,2026,5,13,27,40,2026-05-13 10:54:26
38597,2022,11,2,4,6,2026-05-13 10:54:26
38597,2022,12,1,2,3,2026-05-13 10:54:26
38597,2023,1,6,16,22,2026-05-13 10:54:26
38597,2023,2,8,29,37,2026-05-13 10:54:26
38597,2023,3,10,25,35,2026-05-13 10:54:26
38597,2023,4,8,16,24,2026-05-13 10:54:26
38597,2023,5,2,4,6,2026-05-13 10:54:26
38597,2023,6,2,4,6,2026-05-13 10:54:26
38597,2023,7,2,4,6,2026-05-13 10:54:26
38597,2023,8,6,17,23,2026-05-13 10:54:26
38597,2023,9,5,34,39,2026-05-13 10:54:26
38597,2023,10,9,21,30,2026-05-13 10:54:26
38597,2023,11,5,10,15,2026-05-13 10:54:26
38597,2023,12,632,672,1304,2026-05-13 10:54:26
38597,2024,1,96,130,226,2026-05-13 10:54:26
38597,2024,2,12,32,44,2026-05-13 10:54:26
38597,2024,3,44,98,142,2026-05-13 10:54:26
38597,2024,4,24,50,74,2026-05-13 10:54:26
