study_id,archive,deposit_via,status,title,version,version_date,doi,url
128281,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA):  Post Offices and Banks by Census Tract, United States, 2003-2017",V1,,10.3886/E128281V1,https://www.openicpsr.org/openicpsr/project/128281/version/V1/view
128282,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Post Offices and Banks by ZIP Code Tabulation Area, United States, 2003-2017",V1,,10.3886/E128282V1,https://www.openicpsr.org/openicpsr/project/128282/version/V1/view
128841,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Broadband Internet Availability and Speed by ZIP Code Tabulation Area, United States, 2014-2020",V1,,10.3886/E128841V1,https://www.openicpsr.org/openicpsr/project/128841/version/V1/view
128862,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Land Cover by ZIP Code Tabulation Area, United States, 2001-2016",V1,,10.3886/E128862V1,https://www.openicpsr.org/openicpsr/project/128862/version/V1/view
130282,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Public Transit Stops by ZIP Code Tabulation Area, United States, 2016-2018",V1,,10.3886/E130282V1,https://www.openicpsr.org/openicpsr/project/130282/version/V1/view
130542,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Urbanicity by Census Tract, United States, 2010",V1,,10.3886/E130542V1,https://www.openicpsr.org/openicpsr/project/130542/version/V1/view
134561,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Street Connectivity by ZIP Code Tabulation Area, United States, 2010",V1,,10.3886/E134561V1,https://www.openicpsr.org/openicpsr/project/134561/version/V1/view
155022,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Internet Access by Census Tract, United States, 2015-2019",V1,,10.3886/E155022V1,https://www.openicpsr.org/openicpsr/project/155022/version/V1/view
155025,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Internet Access by ZIP Code Tabulation Area, United States, 2015-2019",V1,,10.3886/E155025V1,https://www.openicpsr.org/openicpsr/project/155025/version/V1/view
156024,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): School Counts by Census Tract, United States, 2000-2018",V1,,10.3886/E156024V1,https://www.openicpsr.org/openicpsr/project/156024/version/V1/view
156041,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): School Counts by ZIP Code Tabulation Area, United States, 2000-2018",V1,,10.3886/E156041V1,https://www.openicpsr.org/openicpsr/project/156041/version/V1/view
156042,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): School Counts and Characteristics by School District, United States, 2000-2018",V1,,10.3886/E156042V1,https://www.openicpsr.org/openicpsr/project/156042/version/V1/view
156043,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Neighborhood-School Gap by Census Tract, United States, 2009-2010 and 2015-2016",V1,,10.3886/E156043V1,https://www.openicpsr.org/openicpsr/project/156043/version/V1/view
156045,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Neighborhood-School Gap by ZIP Code Tabulation Area, United States, 2009-2010 and 2015-2016",V1,,10.3886/E156045V1,https://www.openicpsr.org/openicpsr/project/156045/version/V1/view
159902,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Primary and Secondary Roads by Census Tract, United States, 2010",V1,,10.3886/E159902V1,https://www.openicpsr.org/openicpsr/project/159902/version/V1/view
159941,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Primary and Secondary Roads by ZIP Code Tabulation Area, United States, 2010",V1,,10.3886/E159941V1,https://www.openicpsr.org/openicpsr/project/159941/version/V1/view
159961,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Polluting Sites by Census Tract, United States, 2000-2018",V1,,10.3886/E159961V1,https://www.openicpsr.org/openicpsr/project/159961/version/V1/view
159981,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Polluting Sites by ZIP Code Tabulation Area, United States, 2000-2018",V1,,10.3886/E159981V1,https://www.openicpsr.org/openicpsr/project/159981/version/V1/view
160261,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Traffic Volume by ZIP Code Tabulation Area, United States, 1963-2019",V1,,10.3886/E160261V1,https://www.openicpsr.org/openicpsr/project/160261/version/V1/view
160262,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Traffic Volume by Census Tract, United States, 1963-2019",V1,,10.3886/E160262V1,https://www.openicpsr.org/openicpsr/project/160262/version/V1/view
